name,rank,draft_mmr,mmr_screenshot,statement,is_vouched,activity_check,dotabuff,opendota,join_timestamp,Role: Position 1,Role: Position 2,Role: Position 3,Role: Position 4,Role: Position 5,Role: In Game Drafter,Role: Team Organizer ,
Sockstrangler,0,0,https://imgur.com/a/kUef88S,"i generally play core in AD, but im happy to play support. no other leagues or accounts. ",FALSE,FALSE,https://www.dotabuff.com/players/305363733,https://www.opendota.com/players/305363733,03/27/2026 1:22:38,4,3,4,4,4,3,1,
Sub03,0,0,https://imgur.com/TcSCpJM,"Have no experience playing in house leagues. Have 5 stacked captains mode in the past with some friends for fun. Only recently started playing ability draft, but loves playing support and drafting stuns to lock the enemy team down forever.",FALSE,FALSE,https://www.dotabuff.com/players/245141321,https://www.opendota.com/players/245141321,04/05/2026 17:08:14,1,2,3,5,5,1,1,
Newbycakes,53,3965,https://imgur.com/a/9NQdZxu,,TRUE,FALSE,https://www.dotabuff.com/players/24521769,https://www.opendota.com/players/24521769,03/27/2026 21:43:52,5,2,4,3,3,3,2,
toolugg,44,4150,https://imgur.com/a/ZClZUR7,"Relatively new AD player with rd2l experience. 4.5k mmr, 2.2k windrun.io mmr at time of submission. Extremely comfortable on positions 3-5, can mid if necessary, and on 1 I play in a fashion that reminds one of a freshly birthed deer that still can't really walk. Looking for chill vibes and fun times.",TRUE,FALSE,https://www.dotabuff.com/players/164740579,https://www.opendota.com/players/164740579,03/27/2026 4:38:53,1,3,5,5,5,1,1,
B.O.D.M.A.S,61,4158,https://www.Legend1.com,Used to be an AD/Turbo only player. Time to get back to that.,TRUE,FALSE,https://www.dotabuff.com/players/105723705,https://www.opendota.com/players/105723705,03/27/2026 4:18:52,3,1,2,4,5,3,2,
mr. world wide,55,4503,https://imgur.com/a/duzLj9J,picture that with a kodak,TRUE,FALSE,https://www.dotabuff.com/players/94560711,https://www.opendota.com/players/94560711,04/13/2026 18:01:49,3,1,3,2,3,1,1,
Verve,72,4520,https://imgur.com/HyKeOBE,"https://windrun.io/players/86828968
mmr: uncalibrated since forever but my solo ranked a year ago was ~divine 5 lobbies so make of that what you will

i play any role in AD according to what I drafted",TRUE,FALSE,https://www.dotabuff.com/players/86828968,https://www.opendota.com/players/86828968,03/27/2026 21:29:40,4,4,4,4,4,3,3,
FriscyDriscy,0,4620,https://imgur.com/a/avKAFMK,No other leagues or accounts. I only play AD and I only support.,TRUE,FALSE,https://www.dotabuff.com/players/192412922,https://www.opendota.com/players/192412922,03/27/2026 19:24:55,1,1,1,5,5,5,1,
hanmingzyy,72,4620,https://ibb.co/PcP2hgf,I can pub together with some notice,TRUE,FALSE,https://www.dotabuff.com/players/74883563,https://www.opendota.com/players/74883563,03/29/2026 21:27:21,3,3,3,3,3,3,1,
MAPPO,54,4067,https://www.dota2.com/patches/7.41,,TRUE,FALSE,https://www.dotabuff.com/players/123919855,https://www.opendota.com/players/123919855,03/31/2026 0:57:29,1,1,1,1,1,1,1,1
Cam,72,4658,https://imgur.com/gallery/you-gorilla-CduyK,,TRUE,FALSE,https://www.dotabuff.com/players/178434754,https://www.opendota.com/players/178434754,04/03/2026 11:18:54,1,1,1,1,1,1,1,
C0re,0,5004,https://imgur.com/qrjBX9t,"good day. 
https://windrun.io/players/91095810 
https://www.dotabuff.com/players/91095810",TRUE,FALSE,https://www.dotabuff.com/players/91095810,https://www.opendota.com/players/91095810,04/13/2026 17:50:33,3,2,4,4,5,3,3,
GAFF,52,5017,https://windrun.io/players/124017691,I'm mostly around in the evenings to pub,TRUE,FALSE,https://www.dotabuff.com/players/124017691,https://www.opendota.com/players/124017691,03/27/2026 14:05:00,2,1,3,4,5,1,1,
ExO,71,5166,https://windrun.io/players/45626568,,TRUE,FALSE,https://www.dotabuff.com/players/45626568,https://www.opendota.com/players/45626568,03/27/2026 1:09:28,3,3,3,3,3,2,1,
FJFJFJJ,64,5342,https://imgur.com/a/bwqBcs3,i loooooooooooooooooooooooooooooove ad!!,TRUE,FALSE,https://www.dotabuff.com/players/136477138,https://www.opendota.com/players/136477138,04/02/2026 0:27:10,5,5,5,5,5,5,5,
Icicle,42,5371,https://imgur.com/OhYQtfO,"Haven't been playing a lot of dota of any sort lately, so don't expect much.  I mainly play pos5 but would be open to trying a sidelane core role this season if needed, prefer not mid or pos4.  Not too good at AD drafting but very open to being told what to draft by a better player. PMA!  Most likely will be my only league.   ",TRUE,FALSE,https://www.dotabuff.com/players/69885361,https://www.opendota.com/players/69885361,03/27/2026 1:39:18,2,1,3,1,5,1,1,
[RD] ruN,54,5628,https://imgur.com/a/ZA4yUwf,"Chill support player, very flexible hero pool.",TRUE,FALSE,https://www.dotabuff.com/players/95813278,https://www.opendota.com/players/95813278,03/28/2026 16:32:43,1,1,3,4,5,1,1,
Ratman,73,5700,https://imgur.com/signin#https%3A%2F%2Fimgur.com%2Fnew,"Trackball mouse enjoyer.  APM is typically 15.  Got deep in AD land, am convinced it is Dota 3",TRUE,FALSE,https://www.dotabuff.com/players/171871486,https://www.opendota.com/players/171871486,03/30/2026 2:15:56,1,3,3,5,4,2,2,
MGHappyhobo,80,6746,https://imgur.com/a/eqS1n5j,Full time dad now. Haven't played Dota in a month. Can't really realistically play more than one game a week. Washed but will neglect my child and my sleep for the div.,TRUE,FALSE,https://www.dotabuff.com/players/260316741,https://www.opendota.com/players/260316741,03/28/2026 15:41:20,5,5,3,1,1,1,1,
BananaBread,0,7000,www.google.com,Late signup due to technical issue...Real signup spot was earlier.,FALSE,FALSE,https://www.dotabuff.com/players/488519272,https://www.opendota.com/players/488519272,04/18/2026 13:22:43,,,,,,,,
Droads18,72,7200,https://www.youtube.com/shorts/4DJhJzdsozY,"I WANT TO EAT FISH, THROW HOOKS AND SLAM BALLS IN FACES ",TRUE,FALSE,https://www.dotabuff.com/players/100748539,https://www.opendota.com/players/100748539,04/11/2026 17:49:20,1,1,1,1,1,1,1,
Dr. Sulaiman Al Habib,80,8000,https://imgur.com/a/5hU1NJ7,"https://www.dotabuff.com/players/142513626
https://www.dotabuff.com/players/337537577
https://www.dotabuff.com/players/379941199",TRUE,FALSE,https://www.dotabuff.com/players/99106966,https://www.opendota.com/players/99106966,04/07/2026 22:22:33,5,4,5,4,1,5,2,
[ ] created,55,0,https://imgur.com/dG7DgK6,Can we all just agree to not pick forge spirits. ,TRUE,FALSE,https://www.dotabuff.com/players/129224193,https://www.opendota.com/players/129224193,04/15/2026 8:26:16,2,1,4,5,5,4,1,
Bonedini,0,0,https://www.dotabuff.com/players/81782784,ask friscy or cowboy about me,FALSE,FALSE,https://www.dotabuff.com/players/81782784,https://www.opendota.com/players/81782784,04/15/2026 10:28:38,5,5,5,5,5,5,5,
BananaBread,0,7000,www.google.com,Late signup due to technical issue...Real signup spot was earlier.,FALSE,FALSE,https://www.dotabuff.com/players/488519272,https://www.opendota.com/players/488519272,04/18/2026 13:22:43,,,,,,,,
Sofaking,0,0,https://drive.google.com/file/d/1pP6phYfHZW8cABoM5Ri9DE1x0hYOTJMU/view?usp=sharing,"I mainly play mid and have 3,631 Ability Draft games with a 54.3% win rate. I’ve been around since the days when “Divided We Stand Together” was a normal ability, so I’ve seen just about every version of AD there is.
I try to use mid to control the flow of the game—rotations, pressure, setting the pace—whatever gives us the best chance to win. What I’m best at is reading drafts and finding how everything fits together. Even if things look messy, I’m always trying to spot a win condition and pla",FALSE,FALSE,https://www.dotabuff.com/players/162974861,https://www.opendota.com/players/162974861,04/18/2026 14:57:17,4,5,3,4,2,5,5,
Toy Story 2 was OK,0,0,https://docs.google.com/document/d/1Bi0ATl0AEGOOtCl5pqKVcT4jFv0tmA5Yf1sEpHVxfY0/edit?usp=sharing,Been playing DotA casually most my life and a lot of AD in the last year or two. Play mostly pos 3 but am flexible.,FALSE,FALSE,https://www.dotabuff.com/players/179913789,https://www.opendota.com/players/179913789,04/18/2026 21:00:02,4,3,5,3,4,4,3,
