Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: ,Internal Rating:,Raw Windrun:,MMR Estimate:,AD Last Year:,Ranked Last Year:,Rating Explanation:
Sofaking,95,[ ] created,https://www.dotabuff.com/players/129224193,2912,2,1,4,5,5,Can we all just agree to not pick forge spirits.,2855,2867,4389,500,0,"86% windrun (2867) + 14% ranked-eqv (2778)  [500 AD/yr, 100% AD share, +11% lifetime]"
loves Muffins,134,golden,https://www.dotabuff.com/players/486739727,2909,5,4,3,2,2,,2878,2878,4700,1683,69,"100% windrun (2878) + 0% ranked-eqv (2840)  [1683 AD/yr, 96% AD share, +15% lifetime]"
Yokozuna Hoshoryu,95,BananaBread,https://www.dotabuff.com/players/488519272,2900,,,,,,Late signup due to technical issue...Real signup spot was earlier.,2984,2284,5420,71,296,"0% windrun (2284) + 100% ranked-eqv (2984)  [71 AD/yr, 19% AD share]"
Icicle,136,Droads18,https://www.dotabuff.com/players/100748539,2900,1,1,1,1,1,"I WANT TO EAT FISH, THROW HOOKS AND SLAM BALLS IN FACES ",3337,2089,7187,33,186,"0% windrun (2089) + 100% ranked-eqv (3337)  [33 AD/yr, 15% AD share, +1% lifetime]"
Rainmaker,196,Abra,https://www.dotabuff.com/players/193795851,2900,1,1,1,5,5,"pretty new to AD, mainly support.",3278,2807,6888,165,265,"0% windrun (2807) + 100% ranked-eqv (3278)  [165 AD/yr, 38% AD share]"
redground,107,Ratman,https://www.dotabuff.com/players/171871486,2876,1,3,3,5,4,"Trackball mouse enjoyer.  APM is typically 15.  Got deep in AD land, am convinced it is Dota 3",2913,2864,6766,744,54,"87% windrun (2864) + 13% ranked-eqv (3253)  [744 AD/yr, 93% AD share, +3% lifetime]"
Yokozuna Hoshoryu,133,Death Omen,https://www.dotabuff.com/players/110576918,2818,5,3,4,5,5,Lets goooo,2903,2903,3927,1106,16,"100% windrun (2903) + 0% ranked-eqv (2685)  [1106 AD/yr, 99% AD share, +15% lifetime]"
Bonedini,70,[RD] ruN,https://www.dotabuff.com/players/95813278,2719,1,1,3,4,5,"Chill support player, very flexible hero pool.",2806,2784,4860,674,254,"75% windrun (2784) + 25% ranked-eqv (2872)  [674 AD/yr, 73% AD share, +2% lifetime]"
Icicle,23,Sanemaniac,https://www.dotabuff.com/players/393688663,2704,2,2,1,4,5,"I prefer to play position 4/5.   I play AD 99% of the time if I'm playing DOTA, so I know the draft and combo's well.",2575,2576,3311,722,2,"88% windrun (2576) + 12% ranked-eqv (2562)  [722 AD/yr, 100% AD share, +2% lifetime]"
Dingus,33,Fraggle,https://www.dotabuff.com/players/88105725,2680,5,3,5,5,5,,2769,2769,3927,860,32,"100% windrun (2769) + 0% ranked-eqv (2685)  [860 AD/yr, 96% AD share, +13% lifetime]"
loves Muffins,94,ExO,https://www.dotabuff.com/players/45626568,2680,3,3,3,3,3,,2775,2741,5020,400,66,"79% windrun (2741) + 21% ranked-eqv (2904)  [400 AD/yr, 86% AD share, +15% lifetime]"
Sofaking,59,Toy Story 2 was OK,https://www.dotabuff.com/players/179913789,2653,4,3,5,3,4,Been playing DotA casually most my life and a lot of AD in the last year or two. Play mostly pos 3 but am flexible.,2675,2687,3619,708,330,"81% windrun (2687) + 19% ranked-eqv (2624)  [708 AD/yr, 68% AD share, +8% lifetime]"
Yokozuna Hoshoryu,21,B.O.D.M.A.S,https://www.dotabuff.com/players/105723705,2650,3,1,2,4,5,Used to be an AD/Turbo only player. Time to get back to that.,2716,1984,4081,53,106,"0% windrun (1984) + 100% ranked-eqv (2716)  [53 AD/yr, 33% AD share, +4% lifetime]"
Bonedini,200,Ya Filthy Animal,https://www.dotabuff.com/players/288575318,2649,2,1,2,4,5,"I'm not in any other leagues. I generally play support and utility roles, definitely not a mid.  I hardly play rank these days but would probably calibrate ancient (so I like to tell myself lmao).
I am very familiar with AD because I play a lot of games with Dj Dingus and our discord group. I use windrun.io to help draft a bit so I'm not a complete bot lmao.


Your last question isnt clear... I'm willing to stand in, but rather be on a team obv! 


https://www.dotabuff.com/players/288575318",2864,2714,5180,234,173,"32% windrun (2714) + 68% ranked-eqv (2936)  [234 AD/yr, 57% AD share]"
Rainmaker,39,toolugg,https://www.dotabuff.com/players/164740579,2623,1,3,5,5,5,"Relatively new AD player with rd2l experience. 4.5k mmr, 2.2k windrun.io mmr at time of submission. Extremely comfortable on positions 3-5, can mid if necessary, and on 1 I play in a fashion that reminds one of a freshly birthed deer that still can't really walk. Looking for chill vibes and fun times.",2798,2696,4700,212,161,"29% windrun (2696) + 71% ranked-eqv (2840)  [212 AD/yr, 57% AD share]"
TheFoxInTheBox,42,Newbycakes,https://www.dotabuff.com/players/24521769,2608,5,2,4,3,3,,2630,2620,3927,733,130,"85% windrun (2620) + 15% ranked-eqv (2685)  [733 AD/yr, 85% AD share, +5% lifetime]"
redground,40,Cam,https://www.dotabuff.com/players/178434754,2600,1,1,1,1,1,,2541,2064,3619,164,25,"15% windrun (2064) + 85% ranked-eqv (2624)  [164 AD/yr, 87% AD share]"
Bonedini,40,GAFF,https://www.dotabuff.com/players/124017691,2595,2,1,3,4,5,I'm mostly around in the evenings to pub,2678,2614,5020,514,0,"78% windrun (2614) + 22% ranked-eqv (2904)  [514 AD/yr, 100% AD share, +2% lifetime]"
Space Chicken,22,7SiNs^,https://www.dotabuff.com/players/74497396,2579,4,4,5,5,4,"4k MMR/ top 1k WR US.  I streamed my climb to getting windrun ranked at twitch.tv/7_sins. 

I ran captains mode inhouse games with my top10 USE guild Scubaporium for many (4) years. I handled egos/nonsense for that entire time. 

I am climbing Windrun ranks fast, with my eyes on top 500 before July 1.
Looking forward to playing! I play all roles in my rank. When I stack with immortals I don't play 1/2",2528,2435,4235,598,282,"70% windrun (2435) + 30% ranked-eqv (2747)  [598 AD/yr, 68% AD share, +3% lifetime]"
redground,13,MAPPO,https://www.dotabuff.com/players/123919855,2512,1,1,1,1,1,,2591,2554,3927,611,210,"72% windrun (2554) + 28% ranked-eqv (2685)  [611 AD/yr, 74% AD share, +2% lifetime]"
Rainmaker,39,Meenos,https://www.dotabuff.com/players/345469173,2511,3,3,3,3,3,"https://windrun.io/players/345469173
2511 rating on Windrun, but I mainly play for fun combos, not winning every AD game. I promise to play for the win in the tournament though.",2583,2510,3927,317,118,"58% windrun (2510) + 42% ranked-eqv (2685)  [317 AD/yr, 73% AD share, +10% lifetime]"
TheFoxInTheBox,50,FJFJFJJ,https://www.dotabuff.com/players/136477138,2490,5,5,5,5,5,i loooooooooooooooooooooooooooooove ad!!,2962,2525,5340,130,113,"1% windrun (2525) + 99% ranked-eqv (2968)  [130 AD/yr, 53% AD share]"
Icicle,32,Sub03,https://www.dotabuff.com/players/245141321,2392,1,2,3,5,5,"Have no experience playing in house leagues. Have 5 stacked captains mode in the past with some friends for fun. Only recently started playing ability draft, but loves playing support and drafting stuns to lock the enemy team down forever.",2379,2417,2387,147,96,"4% windrun (2417) + 96% ranked-eqv (2377)  [147 AD/yr, 60% AD share]"
Space Chicken,1,LegitGamer07,https://www.dotabuff.com/players/215227601,2326,3,5,2,4,1,availability may change depends on my job,2390,2385,2541,587,111,"78% windrun (2385) + 22% ranked-eqv (2408)  [587 AD/yr, 84% AD share, +5% lifetime]"
Dingus,38,mr. world wide,https://www.dotabuff.com/players/94560711,2222,3,1,3,2,3,picture that with a kodak,2639,2217,4543,214,178,"29% windrun (2217) + 71% ranked-eqv (2809)  [214 AD/yr, 55% AD share]"
