"name","rank","draft_mmr","mmr_screenshot","statement","is_vouched","activity_check","dotabuff","opendota","join_timestamp","Role: Position 1","Role: Position 2","Role: Position 3","Role: Position 4","Role: Position 5","Role: In Game Drafter","Role: Team Organizer "
"toolugg",44,4150,"https://imgur.com/a/ZClZUR7","Relatively new AD player with rd2l experience. 4.5k mmr, 2.2k windrun.io mmr at time of submission. Extremely comfortable on positions 3-5, can mid if necessary, and on 1 I play in a fashion that reminds one of a freshly birthed deer that still can't really walk. Looking for chill vibes and fun times.",true,false,"https://www.dotabuff.com/players/164740579","https://www.opendota.com/players/164740579","03/27/2026 04:38:53",1,3,5,5,5,1,1
"B.O.D.M.A.S",61,4158,"https://www.Legend1.com","Used to be an AD/Turbo only player. Time to get back to that.",true,false,"https://www.dotabuff.com/players/105723705","https://www.opendota.com/players/105723705","03/27/2026 04:18:52",3,1,2,4,5,3,2
"Verve",72,4520,"https://imgur.com/HyKeOBE","https://windrun.io/players/86828968
mmr: uncalibrated since forever but my solo ranked a year ago was ~divine 5 lobbies so make of that what you will

i play any role in AD according to what I drafted",true,false,"https://www.dotabuff.com/players/86828968","https://www.opendota.com/players/86828968","03/27/2026 21:29:40",4,4,4,4,4,3,3
"FriscyDriscy",0,4620,"https://imgur.com/a/avKAFMK","No other leagues or accounts. I only play AD and I only support.",true,false,"https://www.dotabuff.com/players/192412922","https://www.opendota.com/players/192412922","03/27/2026 19:24:55",1,1,1,5,5,5,1
"hanmingzyy",72,4620,"https://ibb.co/PcP2hgf","I can pub together with some notice",true,false,"https://www.dotabuff.com/players/74883563","https://www.opendota.com/players/74883563","03/29/2026 21:27:21",3,3,3,3,3,3,1
"Cam",72,4658,"https://imgur.com/gallery/you-gorilla-CduyK","",true,false,"https://www.dotabuff.com/players/178434754","https://www.opendota.com/players/178434754","04/03/2026 11:18:54",1,1,1,1,1,1,1
"mr. world wide",55,4883,"https://imgur.com/a/duzLj9J","picture that with a kodak",true,false,"https://www.dotabuff.com/players/94560711","https://www.opendota.com/players/94560711","04/13/2026 18:01:49",3,1,3,2,3,1,1
"C0re",0,5004,"https://imgur.com/qrjBX9t","good day. 
https://windrun.io/players/91095810 
https://www.dotabuff.com/players/91095810",true,false,"https://www.dotabuff.com/players/91095810","https://www.opendota.com/players/91095810","04/13/2026 17:50:33",3,2,4,4,5,3,3
"GAFF",52,5017,"https://windrun.io/players/124017691","I'm mostly around in the evenings to pub",true,false,"https://www.dotabuff.com/players/124017691","https://www.opendota.com/players/124017691","03/27/2026 14:05:00",2,1,3,4,5,1,1
"ExO",71,5166,"https://windrun.io/players/45626568","",true,false,"https://www.dotabuff.com/players/45626568","https://www.opendota.com/players/45626568","03/27/2026 01:09:28",3,3,3,3,3,2,1
"FJFJFJJ",64,5342,"https://imgur.com/a/bwqBcs3","i loooooooooooooooooooooooooooooove ad!!",true,false,"https://www.dotabuff.com/players/136477138","https://www.opendota.com/players/136477138","04/02/2026 00:27:10",5,5,5,5,5,5,5
"Icicle",42,5371,"https://imgur.com/OhYQtfO","Haven't been playing a lot of dota of any sort lately, so don't expect much.  I mainly play pos5 but would be open to trying a sidelane core role this season if needed, prefer not mid or pos4.  Not too good at AD drafting but very open to being told what to draft by a better player. PMA!  Most likely will be my only league.   ",true,false,"https://www.dotabuff.com/players/69885361","https://www.opendota.com/players/69885361","03/27/2026 01:39:18",2,1,3,1,5,1,1
"[RD] ruN",54,5628,"https://imgur.com/a/ZA4yUwf","Chill support player, very flexible hero pool.",true,false,"https://www.dotabuff.com/players/95813278","https://www.opendota.com/players/95813278","03/28/2026 16:32:43",1,1,3,4,5,1,1
"Ratman",73,5700,"https://imgur.com/signin#https%3A%2F%2Fimgur.com%2Fnew","Trackball mouse enjoyer.  APM is typically 15.  Got deep in AD land, am convinced it is Dota 3",true,false,"https://www.dotabuff.com/players/171871486","https://www.opendota.com/players/171871486","03/30/2026 02:15:56",1,3,3,5,4,2,2
"Loves Muffins",73,6045,"https://imgur.com/a/OXpQ3DU","",true,false,"https://www.dotabuff.com/players/116286230","https://www.opendota.com/players/116286230","03/29/2026 03:54:52",5,5,5,5,1,5,5
"Droads18",72,6276,"https://www.youtube.com/shorts/4DJhJzdsozY","I WANT TO EAT FISH, THROW HOOKS AND SLAM BALLS IN FACES ",true,false,"https://www.dotabuff.com/players/100748539","https://www.opendota.com/players/100748539","04/11/2026 17:49:20",1,1,1,1,1,1,1
"MGHappyhobo",80,6746,"https://imgur.com/a/eqS1n5j","Full time dad now. Haven't played Dota in a month. Can't really realistically play more than one game a week. Washed but will neglect my child and my sleep for the div.",true,false,"https://www.dotabuff.com/players/260316741","https://www.opendota.com/players/260316741","03/28/2026 15:41:20",5,5,3,1,1,1,1
"redground",62,7993,"https://imgur.com/a/kiT2meA","I will defeat space cowboy (both)",true,false,"https://www.dotabuff.com/players/362793631","https://www.opendota.com/players/362793631","03/27/2026 00:48:11",5,4,4,1,1,5,5
"Dr. Sulaiman Al Habib",80,8000,"https://imgur.com/a/5hU1NJ7","https://www.dotabuff.com/players/142513626
https://www.dotabuff.com/players/337537577
https://www.dotabuff.com/players/379941199",true,false,"https://www.dotabuff.com/players/99106966","https://www.opendota.com/players/99106966","04/07/2026 22:22:33",5,4,5,4,1,5,2
"Space Chicken",0,8000,"https://cdn.discordapp.com/attachments/105781648464838656/1458233979051311227/mmr_calibration.PNG?ex=69c70c39&is=69c5bab9&hm=3484ae04ea4f6ddc4c579c83a1379da29a80cc34afff414069cff605d6342bc4&","Winner of last season PogChamp",true,false,"https://www.dotabuff.com/players/153867895","https://www.opendota.com/players/153867895","03/27/2026 09:32:28",5,5,1,1,1,5,5
